Messier,NGC,Object type / Type d'objet,Season / Saison,Magnitude,Constellation (EN),Constellation (FR),Constellation (Latin),RA (Right Ascension),Dec (Declinaison),Distance (l.y / a. l.),Size / Dimensions,Discoverer / Découvreur,Year / Année,Image,URL de l'image,Constellation
M22,NGC 6656,Globular Cluster / Amas Globulaire,Summer / Été,5,Archer,Sagittaire,Sagittarius,18.606722222222224,-22.096583333333335,7800.0,"17,0'",Ihle,1665.0,http://www.lasam.ca/messier/M022.JPG,https://www.datastro.eu/api/v2/catalog/datasets/catalogue-de-messier/files/ae30dc0b097efe181077683d076f675c,Sgr
M30,NGC 7099,Globular Cluster / Amas Globulaire,Autumn / Automne,7,Goat,Capricorne,Capricornus,21.672783333333335,-22.820916666666665,41000.0,"8,9'",Messier,1764.0,http://www.lasam.ca/messier/M030.JPG,https://www.datastro.eu/api/v2/catalog/datasets/catalogue-de-messier/files/d8dec275d51809c5e4ac837cb5e29015,Cap
M12,NGC 6218,Globular Cluster / Amas Globulaire,Summer / Été,6,Serpent Holder,Ophiuchus,Ophiuchus,16.787366666666667,-0.05216666666666665,18900.0,"12,2'",Messier,1764.0,http://www.lasam.ca/messier/M012.JPG,https://www.datastro.eu/api/v2/catalog/datasets/catalogue-de-messier/files/686b853d137708ef283311e638592387,Oph
M13,NGC 6205,Globular Cluster / Amas Globulaire,Summer / Été,5,Hercules,Hercule,Hercules,16.694897222222224,36.46130555555556,23500.0,"23,2'",Halley,1714.0,http://www.lasam.ca/messier/M013.JPG,https://www.datastro.eu/api/v2/catalog/datasets/catalogue-de-messier/files/50043671892eb3ae293cac3cb5fd0cab,Her
M19,NGC 6273,Globular Cluster / Amas Globulaire,Summer / Été,7,Serpent Holder,Ophiuchus,Ophiuchus,17.0438,-25.732055555555558,22500.0,"5,3'",Messier,1764.0,http://www.lasam.ca/messier/M019.JPG,https://www.datastro.eu/api/v2/catalog/datasets/catalogue-de-messier/files/f38fcadac00a438f2d62eb1fe18d0a21,Oph
M26,NGC 6694,Open Cluster / Amas Ouvert,Summer / Été,8,Shield,L’Écu de Sobieski,Scutum,18.755183333333335,-8.61638888888889,5100.0,"15,0'",Le Gentil,1749.0,http://www.lasam.ca/messier/M026.JPG,https://www.datastro.eu/api/v2/catalog/datasets/catalogue-de-messier/files/240b168d69adbe1a578c0212cc0feff8,Sct
M38,NGC 1912,Open Cluster / Amas Ouvert,Winter / Hiver,6,Charioteer,Cocher,Auriga,5.478469444444444,35.85491666666667,2750.0,"21,0'",Hodierna,1654.0,http://www.lasam.ca/messier/M038.JPG,https://www.datastro.eu/api/v2/catalog/datasets/catalogue-de-messier/files/483fc12f9290bcb0c244b5e65b774e54,Aur
M42,NGC 9176,Emission Nebula / Nébuleuse à émission,Winter / Hiver,4,"Orion, Hunter",Orion,Orion,5.587911111111111,-4.610333333333333,1500.0,"30,0'",Peiresc,1610.0,http://www.lasam.ca/messier/M042.JPG,https://www.datastro.eu/api/v2/catalog/datasets/catalogue-de-messier/files/90397cbe3746fedbf7f3fe98dd95c2f2,Ori
M43,NGC 1982,Reflection Nebula / Nébuleuse à réflexion,Winter / Hiver,9,"Orion, Hunter",Orion,Orion,5.5920499999999995,-4.7325277777777774,1500.0,"20,0' x 15,0'",Mairan,1750.0,http://www.lasam.ca/messier/M043.JPG,https://www.datastro.eu/api/v2/catalog/datasets/catalogue-de-messier/files/b088495502b56818375fb970311cf4d1,Ori
M52,NGC 7654,Open Cluster / Amas Ouvert,Autumn / Automne,6,Cassiopeia,Cassiopée,Cassiopeia,23.413444444444444,61.59316666666667,3000.0,"13,0'",Messier,1774.0,http://www.lasam.ca/messier/M052.JPG,https://www.datastro.eu/api/v2/catalog/datasets/catalogue-de-messier/files/55c837dd2b2cb395ef59bddf713bc791,Cas
M53,NGC 5024,Globular Cluster / Amas Globulaire,Spring / Printemps,7,Hair of Berenice,Chevelure de Bérénice,Coma Berenices,13.215341666666665,18.16911111111111,69000.0,"14,4'",Bode,1775.0,http://www.lasam.ca/messier/M053.JPG,https://www.datastro.eu/api/v2/catalog/datasets/catalogue-de-messier/files/4a1d56b7713c16cbe97e397d9b2aee83,Com
M55,NGC 6809,Globular Cluster / Amas Globulaire,Summer / Été,7,Archer,Sagittaire,Sagittarius,19.6665,-29.037916666666668,20000.0,"14,8'",Lacaille,1751.0,http://www.lasam.ca/messier/M055.JPG,https://www.datastro.eu/api/v2/catalog/datasets/catalogue-de-messier/files/fdf05919dcf9a0e97cd120ae69f6db83,Sgr
