Messier,NGC,Object type / Type d'objet,Season / Saison,Magnitude,Constellation (EN),Constellation (FR),Constellation (Latin),RA (Right Ascension),Dec (Declinaison),Distance (l.y / a. l.),Size / Dimensions,Discoverer / Découvreur,Year / Année,Image,URL de l'image,Constellation
M91,NGC 4548,Galaxy / Galaxie,Spring / Printemps,10,Hair of Berenice,Chevelure de Bérénice,Coma Berenices,12.590680555555556,14.496333333333332,37000000.0,"5,4' x 4,4'",Messier,1781.0,http://www.lasam.ca/messier/M091.JPG,https://www.datastro.eu/api/v2/catalog/datasets/catalogue-de-messier/files/284c5bc7c93f0088d9a250d0e946c902,Com
M75,NGC 6864,Globular Cluster / Amas Globulaire,Summer / Été,8,Archer,Sagittaire,Sagittarius,20.101344444444447,-20.077777777777776,78500.0,"4,6'",Méchain,1780.0,http://www.lasam.ca/messier/M075.JPG,https://www.datastro.eu/api/v2/catalog/datasets/catalogue-de-messier/files/00f582867eec79eab3bc4d51021d8178,Sgr
M95,NGC 3351,Galaxy / Galaxie,Spring / Printemps,9,Lion,Lion,Leo,10.732694444444444,11.703805555555554,20300000.0,"7,4' x 5,1'",Méchain,1781.0,http://www.lasam.ca/messier/M095.JPG,https://www.datastro.eu/api/v2/catalog/datasets/catalogue-de-messier/files/d78c022080defa2df511b4a74951c911,Leo
M41,NGC 2287,Open Cluster / Amas Ouvert,Winter / Hiver,4,Great Dog,Grand Chien,Canis Major,6.76665,-19.24577777777778,1600.0,"30,0'",Hodierna,1654.0,http://www.lasam.ca/messier/M041.JPG,https://www.datastro.eu/api/v2/catalog/datasets/catalogue-de-messier/files/29f4c224d82abed7818f5b0d8d2c88f2,CMa
M46,NGC 2437,Open Cluster / Amas Ouvert,Winter / Hiver,6,"Stern,Poop deck",Poupe,Puppis,7.6963388888888895,-13.19,3200.0,"24,0'",Messier,1771.0,http://www.lasam.ca/messier/M046.JPG,https://www.datastro.eu/api/v2/catalog/datasets/catalogue-de-messier/files/b01e8f5ad9db9482252f14ccd3313cd9,Pup
M59,NGC 4621,Galaxy / Galaxie,Spring / Printemps,9,Virgin,Vierge,Virgo,12.700622222222222,11.647027777777778,41000000.0,"5,1' x 3,4'",Koehler,1779.0,http://www.lasam.ca/messier/M059.JPG,https://www.datastro.eu/api/v2/catalog/datasets/catalogue-de-messier/files/b24a84de6da3360d826cf5c3ab0261d1,Vir
M49,NGC 4472,Galaxy / Galaxie,Spring / Printemps,8,Virgin,Vierge,Virgo,12.496322222222222,8.000472222222223,41000000.0,"8,9' x 7,4'",Messier,1771.0,http://www.lasam.ca/messier/M049.JPG,https://www.datastro.eu/api/v2/catalog/datasets/catalogue-de-messier/files/25046a4043828d3b133a4a98e981ae82,Vir
M99,NGC 4254,Galaxy / Galaxie,Spring / Printemps,9,Hair of Berenice,Chevelure de Bérénice,Coma Berenices,12.313777777777778,14.416500000000001,41000000.0,"5,4' x 4,8'",Méchain,1781.0,http://www.lasam.ca/messier/M099.JPG,https://www.datastro.eu/api/v2/catalog/datasets/catalogue-de-messier/files/76a67bc41ee3e41b25567e06b20bab39,Com
M8,NGC 6523,Emission Nebula / Nébuleuse à émission,Summer / Été,5,Archer,Sagittaire,Sagittarius,18.06146388888889,-23.619833333333332,4850.0,"90,0' x 40,0'",Flamsteed,1680.0,http://www.lasam.ca/messier/M008.JPG,https://www.datastro.eu/api/v2/catalog/datasets/catalogue-de-messier/files/0a09915c6203f288d82ddb1236a986a1,Sgr
M11,NGC 6705,Open Cluster / Amas Ouvert,Summer / Été,5,Shield,L’Écu de Sobieski,Scutum,18.85166388888889,-5.729972222222222,5600.0,"14,0'",Kirch,1681.0,http://www.lasam.ca/messier/M011.JPG,https://www.datastro.eu/api/v2/catalog/datasets/catalogue-de-messier/files/4bc62585d114ad1c0fc3075fcf93c6e5,Sct
M23,NGC 6494,Open Cluster / Amas Ouvert,Summer / Été,5,Archer,Sagittaire,Sagittarius,17.951325,-17.014666666666667,2150.0,"25,0'",Messier,1764.0,http://www.lasam.ca/messier/M023.JPG,https://www.datastro.eu/api/v2/catalog/datasets/catalogue-de-messier/files/ff119a9dfc69d428705050aa76dbb11a,Sgr
M25,IC4725,Open Cluster / Amas Ouvert,Summer / Été,4,Archer,Sagittaire,Sagittarius,18.529658333333334,-18.885055555555553,2060.0,"35,0'",Chéseaux,1746.0,http://www.lasam.ca/messier/M025.JPG,https://www.datastro.eu/api/v2/catalog/datasets/catalogue-de-messier/files/c18a9c95c4de885305003df09bc0b129,Sgr
M54,NGC 6715,Globular Cluster / Amas Globulaire,Summer / Été,7,Archer,Sagittaire,Sagittarius,18.917575000000003,-29.521500000000003,49000.0,"5,5'",Messier,1778.0,http://www.lasam.ca/messier/M054.JPG,https://www.datastro.eu/api/v2/catalog/datasets/catalogue-de-messier/files/8b3604c4ff6814a981af8cbd38c607ee,Sgr
M62,NGC 6266,Globular Cluster / Amas Globulaire,Summer / Été,6,Serpent Holder,Ophiuchus,Ophiuchus,17.020166666666665,-29.887638888888887,22500.0,"6,3'",Messier,1771.0,http://www.lasam.ca/messier/M062.JPG,https://www.datastro.eu/api/v2/catalog/datasets/catalogue-de-messier/files/d06bc159284f4078fd9134d9577bc700,Oph
M64,NGC 4826,Galaxy / Galaxie,Spring / Printemps,8,Hair of Berenice,Chevelure de Bérénice,Coma Berenices,12.945455555555556,21.682972222222222,11800000.0,"9,3' x 5,4'",Bode,1775.0,http://www.lasam.ca/messier/M064.JPG,https://www.datastro.eu/api/v2/catalog/datasets/catalogue-de-messier/files/96e7c96295c70aeecae2bb112aa7783e,Com
M67,NGC 2682,Open Cluster / Amas Ouvert,Spring / Printemps,6,Crab,Cancer,Cancer,8.855591666666667,11.811944444444444,2600.0,"27,0'",Koehler,1778.0,http://www.lasam.ca/messier/M067.JPG,https://www.datastro.eu/api/v2/catalog/datasets/catalogue-de-messier/files/58e4e9e693132bcfabbbfdb507939897,Cnc
M71,NGC 6838,Globular Cluster / Amas Globulaire,Summer / Été,8,Arrow,Flèche,Sagitta,19.896141666666665,18.778388888888887,13000.0,"6,1'",Chéseaux,1746.0,http://www.lasam.ca/messier/M071.JPG,https://www.datastro.eu/api/v2/catalog/datasets/catalogue-de-messier/files/b30b278daf4eb206dfa1a2c076405697,Sge
M98,NGC 4192,Galaxy / Galaxie,Spring / Printemps,10,Hair of Berenice,Chevelure de Bérénice,Coma Berenices,12.230080555555556,14.900333333333334,36000000.0,"9,5' x 3,2'",Méchain,1781.0,http://www.lasam.ca/messier/M098.JPG,https://www.datastro.eu/api/v2/catalog/datasets/catalogue-de-messier/files/8d5ed4e0abe4747874fec92578f50b4a,Com
M103,NGC 581,Open Cluster / Amas Ouvert,Autumn / Automne,7,Cassiopeia,Cassiopée,Cassiopeia,1.5560583333333333,60.658,8500.0,"5,0'",Méchain,1781.0,http://www.lasam.ca/messier/M103.JPG,https://www.datastro.eu/api/v2/catalog/datasets/catalogue-de-messier/files/e78e6f4f80a2ae2cb8197aa0740ad975,Cas
M106,NGC 4258,Galaxy / Galaxie,Spring / Printemps,8,Hound Dogs,Les Chiens de chasse,Canes Venatici,12.315972222222223,47.30397222222222,20000000.0,"18,0' x 7,9'",Méchain,1781.0,http://www.lasam.ca/messier/M106.JPG,https://www.datastro.eu/api/v2/catalog/datasets/catalogue-de-messier/files/3652e8d678cf1a56720bf0e86e38fa20,CVn
M70,NGC 6681,Globular Cluster / Amas Globulaire,Summer / Été,8,Archer,Sagittaire,Sagittarius,18.720177777777778,-31.70811111111111,65000.0,"4,1'",Messier,1780.0,http://www.lasam.ca/messier/M070.JPG,https://www.datastro.eu/api/v2/catalog/datasets/catalogue-de-messier/files/e664481efead034f54af20e50bfce8f0,Sgr
M50,NGC 2323,Open Cluster / Amas Ouvert,Winter / Hiver,5,Unicorn,Licorne,Monoceros,7.044575,-7.635972222222223,2950.0,"16,0. x 5,5'",Cassini,1710.0,http://www.lasam.ca/messier/M050.JPG,https://www.datastro.eu/api/v2/catalog/datasets/catalogue-de-messier/files/b57cd7278a77f27db822dc3b2a3fd330,Mon
M61,NGC 4303,Galaxy / Galaxie,Spring / Printemps,9,Virgin,Vierge,Virgo,12.36525,4.473638888888889,41000000.0,"6,0' x 5,5'",Oriani,1779.0,http://www.lasam.ca/messier/M061.JPG,https://www.datastro.eu/api/v2/catalog/datasets/catalogue-de-messier/files/93c04111b9eea5f01925db31d67bb866,Vir
M94,NGC 4736,Galaxy / Galaxie,Spring / Printemps,8,Hound Dogs,Les Chiens de chasse,Canes Venatici,12.848072222222223,41.120444444444445,32600000.0,"11,0' x 9,1'",Méchain,1781.0,http://www.lasam.ca/messier/M094.JPG,https://www.datastro.eu/api/v2/catalog/datasets/catalogue-de-messier/files/8c106b857bd4916cfc4712b82690df78,CVn
